UserType,DemoInfo,Distribution
0,1,19
0,2,19
0,3,14
0,4,11
0,5,10
0,6,12
0,7,12
1,1,16
1,2,21
1,3,15
1,4,12
1,5,10
1,6,13
1,7,11
2,1,26
2,2,28
2,3,16
2,4,9
2,5,5
2,6,9
2,7,4
3,1,27
3,2,26
3,3,16
3,4,8
3,5,5
3,6,8
3,7,7
