UserType,DemoInfo,Distribution
0,1,87
0,2,5
0,3,3
0,4,1
0,5,0
0,6,0
0,7,0
0,8,0
1,1,82
1,2,7
1,3,6
1,4,1
1,5,0
1,6,1
1,7,0
1,8,0
2,1,83
2,2,0
2,3,4
2,4,4
2,5,0
2,6,2
2,7,2
2,8,2
3,1,59
3,2,12
3,3,15
3,4,9
3,5,3
3,6,0
3,7,0
3,8,0
