,marij_ever,cocaine_ever,crack_ever,heroin_ever,hallucinogen_ever,inhalant_ever,meth_ever,painrelieve_ever,tranq_ever,stimulant_ever,sedative_ever,countofdrugs_ever
marij_ever,1.0,0.9797181895815542,0.989440337909187,0.9815837937384899,0.9726286796350491,0.8705847432472544,0.979004199160168,0.8513686364799181,0.9282208588957055,0.9394736842105263,0.9095966620305981,0.8708911386076741
cocaine_ever,0.29042465666729955,1.0,1.0,0.9263351749539595,0.5835772077810294,0.5025230038587117,0.8122375524895021,0.4609874648247634,0.6,0.5626315789473684,0.5966620305980529,0.007249093863267091
crack_ever,0.05930004430099361,0.20217762596071734,1.0,0.5561694290976059,0.13048717507316235,0.14366280795488276,0.3239352129574085,0.12842159119979535,0.17607361963190185,0.13526315789473684,0.18636995827538247,0.0006249218847644045
heroin_ever,0.03373204227580533,0.1073868488471392,0.31890179514255546,1.0,0.08297469443966259,0.09349955476402494,0.17876424715056988,0.09516500383729855,0.14049079754601226,0.11157894736842106,0.15855354659248957,0.00012498437695288088
hallucinogen_ever,0.35757230555028163,0.7237403928266439,0.8004223864836325,0.8876611418047882,1.0,0.6031463342238053,0.7696460707858428,0.5564082885648504,0.6987730061349693,0.6847368421052632,0.6912378303198887,0.011998500187476566
inhalant_ever,0.18562116321751787,0.3614432109308284,0.5110876451953538,0.580110497237569,0.34980203133069376,1.0,0.46070785842831435,0.3545663852647736,0.4466257668711656,0.3868421052631579,0.47983310152990266,0.04136982877140358
meth_ever,0.10328460224036454,0.289069171648164,0.5702217529039071,0.5488029465930019,0.22086417627818902,0.22796081923419412,1.0,0.196725505244308,0.26380368098159507,0.22052631578947368,0.29763560500695413,0.001999750031246094
painrelieve_ever,0.21061958103917475,0.3847139197267293,0.5300950369588173,0.6850828729281768,0.3744190049922534,0.41139804096170973,0.46130773845230955,1.0,0.7503067484662577,0.5857894736842105,0.7746870653685675,0.05211848518935133
tranq_ever,0.09575343332700462,0.20879590093936806,0.30306230200633577,0.42173112338858193,0.19607505594766741,0.21608785989907986,0.2579484103179364,0.3128677411102584,1.0,0.37684210526315787,0.6105702364394993,0.004624421947256593
stimulant_ever,0.1129675337003987,0.22822374039282664,0.2713833157338965,0.39042357274401474,0.2239628163195042,0.21816562778272486,0.2513497300539892,0.2847275518035303,0.4392638036809816,1.0,0.502086230876217,0.007249093863267091
sedative_ever,0.041389785456616666,0.09158838599487618,0.14149947201689547,0.20994475138121546,0.08555689447409193,0.10240427426536064,0.12837432513497302,0.14249168585315938,0.26932515337423313,0.19,1.0,0.002374703162104737
countofdrugs_ever,2.4313651034744637,4.37467976088813,5.436114044350581,6.6316758747697975,4.089860561198141,4.245770258236866,5.299340131973605,4.25530826298286,5.53680981595092,5.058421052631579,6.02086230876217,1.0
