UserType,DemoInfo,Distribution
0,1,0.17828082620488211
0,2,0.17817650740663468
0,3,0.13721399262813827
0,4,0.1103345156130468
0,5,0.09374782669170317
0,6,0.11892343000208637
0,7,0.11725432923012727
1,1,0.004590027122887545
1,2,0.005737533903609431
1,3,0.004346616593643508
1,4,0.003372974476667362
1,5,0.002851380485430141
1,6,0.004103206064399472
1,7,0.002886153418179289
2,1,0.009249600111273385
2,2,0.006537311356839836
2,3,0.0039641143334028794
2,4,0.0022950135614437724
2,5,0.0017734195702065513
2,6,0.0019125113012031436
2,7,0.0013909173099659225
3,1,0.003720703804158843
3,2,0.002886153418179289
3,3,0.001669100771959107
3,4,0.0009040962514778497
3,5,0.0005563669239863691
3,6,0.0007650045204812574
3,7,0.0005563669239863691
