UserType,DemoInfo,Distribution
0,1,0.17115237499130675
0,2,0.16325891925725017
0,3,0.12500869323318728
0,4,0.10073718617428194
0,5,0.08634119201613465
0,6,0.10939564642881981
0,7,0.10817859378259963
1,1,0.010814382084985048
1,2,0.014083037763404966
1,3,0.012518255789693303
1,4,0.00987551290075805
1,5,0.00789345573405661
1,6,0.010814382084985048
1,7,0.009979831699005494
2,1,0.010431879824744418
2,2,0.010814382084985048
2,3,0.0068154948188330206
2,4,0.004381389526392656
2,5,0.003372974476667362
2,6,0.0039641143334028794
2,7,0.0026079699561861046
3,1,0.0034425203421656583
3,2,0.0051811669796230616
3,3,0.002851380485430141
3,4,0.0019125113012031436
3,5,0.0013213714444676263
3,6,0.0015300090409625148
3,7,0.0013213714444676263
