UserType,DemoInfo,Distribution
0,1,0.18325335558801029
0,2,0.17925446832185826
0,3,0.13808331594686696
0,4,0.11109952013352806
0,5,0.09472146880867932
0,6,0.1194450239933236
0,7,0.11746296682662216
1,1,0.0039641143334028794
1,2,0.005215939912372209
1,3,0.003894568467904583
1,4,0.0029556992836775853
1,5,0.0025036511579386604
1,6,0.003268655678419918
1,7,0.002781834619931845
2,1,0.005807079769107727
2,2,0.006120036163850059
2,3,0.0035120662076639545
2,4,0.0019820571667014397
2,5,0.001182279713471034
2,6,0.00215592183044718
2,7,0.00107796091522359
3,1,0.002816607552680993
3,2,0.002747061687182697
3,3,0.0017038737047082551
3,4,0.0008693233187287016
3,5,0.000521593991237221
3,6,0.0008345503859795535
3,7,0.0007650045204812574
