UserType,DemoInfo,Distribution
0,1,0.16145072675429445
0,2,0.1516447597190347
0,3,0.1157590931219139
0,4,0.0934000973642117
0,5,0.07889978440781696
0,6,0.09927672299881772
0,7,0.09757284929410946
1,1,0.02409764239515961
1,2,0.03230405452395855
1,3,0.025975380763613602
1,4,0.020376938591000766
1,5,0.018255789693302733
1,6,0.024375825857152793
1,7,0.023436956672925793
2,1,0.007406634675568537
2,2,0.0068154948188330206
2,3,0.003825022602406287
2,4,0.0022950135614437724
2,5,0.0013561443772167744
2,6,0.0017734195702065513
2,7,0.0008345503859795535
3,1,0.002886153418179289
3,2,0.0025731970234369565
3,3,0.001634327839209959
3,4,0.0008345503859795535
3,5,0.00041727519298977677
3,6,0.00027818346199318453
3,7,0.00024341052924403643
