UserType,DemoInfo,Distribution
0,1,0.3330899228040893
0,2,0.1148897698031852
0,3,0.0025731970234369565
1,1,0.2839905417622922
1,2,0.06412128798942902
1,3,0.0012170526462201821
2,1,0.053098268307949094
2,2,0.022950135614437723
2,3,0.000591139856735517
3,1,0.08721051533486335
3,2,0.03491202448014465
3,3,0.0013561443772167744
