UserType,DemoInfo,Distribution
0,0,99
0,1,0
0,2,0
0,3,0
0,4,0
1,0,98
1,1,0
1,2,0
1,4,0
2,0,96
2,1,2
2,2,0
2,3,0
2,4,0
3,0,97
3,1,1
3,2,0
3,3,0
