UserType,DemoInfo,Distribution
0,1,0.0951387440016691
0,2,0.08794074692259546
0,3,0.06509493010640517
0,4,0.05275053898045761
0,5,0.04364003060018082
0,6,0.05334167883719313
0,7,0.052646220182210164
1,1,0.04325752833994019
1,2,0.05629737812087071
1,3,0.05146394046873913
1,4,0.04433548925516378
1,5,0.04141456290423534
1,6,0.05560191946588775
1,7,0.05695806384310453
2,1,0.022498087488698797
2,2,0.017456012240072327
2,3,0.010883927950483343
2,4,0.007337088810070241
2,5,0.005320258710619654
2,6,0.007580499339314278
2,7,0.00556366923986369
3,1,0.034946797412893804
3,2,0.03164336880172474
3,3,0.0197510258015161
3,4,0.012483482856944155
3,5,0.008554141456290423
3,6,0.00918005424577509
3,7,0.006919813617080464
