UserType,DemoInfo,Distribution
0,1,0.1733430697545031
0,2,0.16138118088879616
0,3,0.1204534390430489
0,4,0.09691216357187565
0,5,0.08143820849850476
0,6,0.10296265387022742
0,7,0.1006328673760345
1,1,0.014848042283886222
1,2,0.02441059878990194
1,3,0.021767855900966686
1,4,0.01738646637457403
1,5,0.015369636275123444
1,6,0.02065512205299395
1,7,0.019820571667014397
2,1,0.005285485777870505
2,2,0.0051811669796230616
2,3,0.0034425203421656583
2,4,0.0018429654357048474
2,5,0.001634327839209959
2,6,0.0013213714444676263
2,7,0.0008693233187287016
3,1,0.002364559426942068
3,2,0.002364559426942068
3,3,0.0015300090409625148
3,4,0.0007650045204812574
3,5,0.00048682105848807286
3,6,0.0007650045204812574
3,7,0.0007650045204812574
