UserType,DemoInfo,Distribution
0,1,0.19139022185131094
0,2,0.18794770150914528
0,3,0.14364698518673064
0,4,0.1140204464844565
0,5,0.09670352597538076
0,6,0.12257458794074692
0,7,0.11871479240559149
1,1,0.0029904722164267334
1,2,0.003998887266152027
1,3,0.0025731970234369565
1,4,0.002086375964948884
1,5,0.0015647819737116628
1,6,0.0025036511579386604
1,7,0.0025384240906878085
2,1,0.0009736421169761457
2,2,0.0008693233187287016
2,3,0.0006259127894846651
2,4,0.000521593991237221
2,5,0.00041727519298977677
2,6,0.00045204812573892484
2,7,0.0006606857222338132
3,1,0.00048682105848807286
3,2,0.000521593991237221
3,3,0.0003477293274914806
3,4,0.00027818346199318453
3,5,0.00024341052924403643
3,6,0.0001738646637457403
3,7,0.0001738646637457403
