UserType,DemoInfo,Distribution
0,1,0.1911468113220669
0,2,0.1851310939564643
0,3,0.1410042422977954
0,4,0.11269907503998887
0,5,0.09621670491689269
0,6,0.12149662702552333
0,7,0.1193754781278253
1,1,0.0039641143334028794
1,2,0.007267542944571945
1,3,0.005702760970860282
1,4,0.004068433131650323
1,5,0.0026427428889352527
1,6,0.004068433131650323
1,7,0.0026079699561861046
2,1,0.0003825022602406287
2,2,0.000521593991237221
2,3,0.00020863759649488838
2,4,0.00013909173099659226
2,5,6.954586549829613e-05
2,6,6.954586549829613e-05
2,7,0.00010431879824744419
3,1,0.0003477293274914806
3,2,0.00041727519298977677
3,3,0.00027818346199318453
3,6,6.954586549829613e-05
