,UserType,DemoInfo,Distribution
0,0,1,9
1,0,2,24
2,0,3,35
3,0,4,30
4,1,1,14
5,1,2,33
6,1,3,38
7,1,4,13
8,2,1,13
9,2,2,48
10,2,3,34
11,2,4,2
12,3,1,31
13,3,2,40
14,3,3,25
15,3,4,3
